,PC,eigenvalues,normalised_eigenvalues
1,PC2,102548315.7340279,7.81351604502667e-08
2,PC3,56696816.01931111,4.319929376683213e-08
3,PC4,2758442.864488842,2.1017544195336856e-09
4,PC5,1440707.764760444,1.0977258042293627e-09
5,PC6,26051.888019461505,1.9849847711906952e-11
6,PC7,20792.074020682325,1.5842210845406972e-11
7,PC8,11136.73239509826,8.485467229316404e-12
8,PC9,9091.660841593006,6.927255445713345e-12
9,PC10,7831.002286116121,5.96671545244164e-12
10,PC11,5965.1207794258335,4.545034853761128e-12
11,PC12,4499.0640816158175,3.427994807879972e-12
12,PC13,2163.243293946737,1.648250979605365e-12
13,PC14,1483.67382566173,1.1304631538231397e-12
14,PC15,904.5882293212219,6.892375163211287e-13
