,PC,eigenvalues,normalised_eigenvalues
0,PC1,415.1937687685575,0.0916960200825469
1,PC2,184.7186384171103,0.04079532317682214
2,PC3,146.77839156046494,0.032416176138989235
3,PC4,114.91799649378913,0.02537977134289436
4,PC5,94.52298280390139,0.020875509175284027
5,PC6,91.84155313089201,0.020283312356253094
6,PC7,82.48759594782904,0.018217480182872024
7,PC8,78.03989907378327,0.01723520122648691
8,PC9,74.84138225210391,0.01652880511754491
9,PC10,71.17498363005285,0.01571907677630474
10,PC11,69.69922898432729,0.015393154670024783
11,PC12,64.10128221259626,0.014156841704336195
12,PC13,62.74977351804148,0.013858359458889219
13,PC14,60.586951611977405,0.01338069776005969
14,PC15,59.20337034225146,0.013075132249597159
15,PC16,58.21222592181146,0.012856236867446007
16,PC17,56.149589765693015,0.012400701306410517
17,PC18,53.627950065062706,0.011843794286067357
18,PC19,52.1157382674552,0.011509820575975917
19,PC20,50.61875007056259,0.011179209015564668
20,PC21,50.31468934281741,0.011112056855067824
21,PC22,49.32606704321697,0.0108937184861971
22,PC23,48.20811052085596,0.01064681650587626
23,PC24,47.38355716512249,0.010464712951454626
24,PC25,46.18083346180266,0.010199090041986431
25,PC26,44.62372906213342,0.009855201749235381
26,PC27,43.71997832294832,0.009655607361834717
27,PC28,42.685879597146666,0.0094272254720735
28,PC29,42.24284296073172,0.009329380322733952
29,PC30,40.44984906071017,0.00893339556325191
30,PC31,39.960929115353636,0.008825417032501942
31,PC32,39.076434658563315,0.008630075417156177
32,PC33,38.62663816659821,0.008530737345964452
33,PC34,37.92623751632239,0.008376053058953099
34,PC35,37.02751633264339,0.008177569454655132
35,PC36,35.929058565992065,0.007934973796898918
36,PC37,34.97144555341956,0.007723483864637665
37,PC38,34.717940874999414,0.007667497065624814
38,PC39,33.3495038825999,0.007365276186181142
39,PC40,32.81425017397394,0.007247064790665757
40,PC41,32.72349766295309,0.007227021994508699
41,PC42,31.930911788923183,0.007051978495089751
42,PC43,31.764206087305354,0.007015161349666876
43,PC44,30.907652702221874,0.006825990552057506
44,PC45,30.540121400324963,0.0067448208424550245
45,PC46,30.35183397023539,0.0067032373475437385
46,PC47,30.044603870618463,0.006635385227633576
47,PC48,29.396549336695056,0.006492261640462519
48,PC49,28.988975340351335,0.006402248455860294
49,PC50,27.8939838731164,0.006160418334306225
50,PC51,27.430748971419543,0.00605811237491065
51,PC52,27.15171387122464,0.005996487152964051
52,PC53,26.48771326846016,0.005849841858198428
53,PC54,25.99207911292495,0.005740380486428934
54,PC55,25.824454122994783,0.005703360315127805
55,PC56,25.63960792876733,0.005662536821103955
56,PC57,24.535343550384265,0.005418658766486284
57,PC58,24.353393808368214,0.005378474957255712
58,PC59,24.0151115161385,0.005303764924988448
59,PC60,23.757202874112746,0.005246805505561711
60,PC61,23.631248659679,0.00521898837282763
61,PC62,22.65928835370924,0.005004329824362461
62,PC63,22.35774981979476,0.004937734693266221
63,PC64,21.99561127935054,0.00485775598121636
64,PC65,21.616257764029584,0.0047739753222184505
65,PC66,21.244269469455165,0.004691821280670727
66,PC67,20.972707679670748,0.00463184654790058
67,PC68,20.636723071759903,0.004557643961850708
68,PC69,20.587166882620537,0.0045466994206356135
69,PC70,20.051464968548114,0.00442838903843326
70,PC71,19.91307125095003,0.0043978246271565435
71,PC72,19.25869771873729,0.00425330548196505
72,PC73,19.195989746184978,0.00423945635429739
73,PC74,18.835261392088576,0.004159789083520005
74,PC75,18.434581306539233,0.004071298427024412
75,PC76,18.103150232368655,0.003998101494124231
76,PC77,17.84333018526266,0.003940719938693035
77,PC78,17.447541333218958,0.003853309516727676
78,PC79,17.393174402404536,0.0038413025176954616
79,PC80,17.12859382179978,0.0037828695929804724
80,PC81,16.7436126692266,0.0036978460638402016
81,PC82,16.166564472716555,0.0035704043077350468
82,PC83,15.917717787247637,0.003515446231808448
83,PC84,15.690588866417553,0.0034652845491138016
84,PC85,15.475678117439243,0.003417821263687533
85,PC86,15.350930868820962,0.0033902706907382534
86,PC87,15.168481926989859,0.0033499766326559174
87,PC88,14.80559337699922,0.003269832280137427
88,PC89,14.594014477698986,0.0032231048375343753
89,PC90,14.26840994825815,0.003151194703721124
90,PC91,13.989125394044283,0.0030895143895682993
91,PC92,13.927659288929675,0.0030759395297487464
92,PC93,13.55000229436228,0.0029925335493052635
93,PC94,13.420225164743753,0.002963872121367531
94,PC95,13.327503321240203,0.002943394395872735
95,PC96,12.844146585902807,0.002836644506436801
96,PC97,12.828989780272693,0.0028332971085277036
97,PC98,12.750359815618664,0.0028159315906409817
