"Name","activation_function","batch_size","epochs","learning_rate","num_neurons","optimizer","accuracy","f1","hamming_loss","precision","recall"
"run-58","relu","256","100","0.01","[32,64]","batch-gd","0.5225","0.406832298136646","0.4775","0.3598901098901099","0.46785714285714286"
"run-40","relu","256","10","0.01","[32,64]","batch-gd","0.49875","0.3744149765990639","0.50125","0.33240997229916897","0.42857142857142855"
"run-145","tanh","16","10","0.01","[32]","batch-gd","0.49625","0.4633821571238349","0.50375","0.36942675159235666","0.6214285714285714"
"run-19","relu","16","100","0.01","[32]","batch-gd","0.485","0.42777777777777776","0.515","0.35","0.55"
"run-163","tanh","16","100","0.01","[32]","batch-gd","0.48375","0.4158415841584158","0.51625","0.3442622950819672","0.525"
"run-133","sigmoid","256","100","0.01","[32,64,32]","batch-gd","0.4725","0.45897435897435895","0.5275","0.358","0.6392857142857142"
"run-55","relu","256","100","0.01","[32]","batch-gd","0.4725","0.4547803617571059","0.5275","0.3562753036437247","0.6285714285714286"
"run-4","relu","16","10","0.01","[32,64]","batch-gd","0.46875","0.4572158365261813","0.53125","0.3558648111332008","0.6392857142857142"
"run-127","sigmoid","256","100","0.01","[32]","batch-gd","0.4675","0.3861671469740634","0.5325","0.32367149758454106","0.4785714285714286"
"run-25","relu","16","100","0.01","[32,64,32]","batch-gd","0.45625","0.5106861642294713","0.54375","0.3727422003284072","0.8107142857142857"
"run-61","relu","256","100","0.01","[32,64,32]","batch-gd","0.455","0.4894613583138173","0.545","0.3641114982578397","0.7464285714285714"
"run-91","sigmoid","16","100","0.01","[32]","batch-gd","0.4525","0.4697336561743341","0.5475","0.3553113553113553","0.6928571428571428"
"run-115","sigmoid","256","10","0.01","[32,64,32]","batch-gd","0.43875","0.4366373902132999","0.56125","0.3365570599613153","0.6214285714285714"
"run-187","tanh","256","10","0.01","[32,64,32]","batch-gd","0.43375","0.4927211646136618","0.56625","0.35889070146818924","0.7857142857142857"
"run-97","sigmoid","16","100","0.01","[32,64,32]","batch-gd","0.4325","0.484090909090909","0.5675","0.355","0.7607142857142857"
"run-181","tanh","256","10","0.01","[32]","batch-gd","0.42875","0.38821954484605087","0.57125","0.31049250535331907","0.5178571428571429"
"run-1","relu","16","10","0.01","[32]","batch-gd","0.42625","0.4894327030033371","0.57375","0.3554119547657512","0.7857142857142857"
"run-37","relu","256","10","0.01","[32]","batch-gd","0.42375","0.4743443557582669","0.57625","0.34840871021775544","0.7428571428571429"
"run-109","sigmoid","256","10","0.01","[32]","batch-gd","0.42125","0.4468339307048985","0.57875","0.3357271095152603","0.6678571428571428"
"run-166","tanh","16","100","0.01","[32,64]","batch-gd","0.42","0.4604651162790698","0.58","0.3413793103448276","0.7071428571428572"
"run-199","tanh","256","100","0.01","[32]","batch-gd","0.42","0.4592074592074593","0.58","0.3408304498269896","0.7035714285714286"
"run-184","tanh","256","10","0.01","[32,64]","batch-gd","0.41875","0.5047923322683706","0.58125","0.3596358118361153","0.8464285714285714"
"run-202","tanh","256","100","0.01","[32,64]","batch-gd","0.41125","0.5005302226935313","0.58875","0.3559577677224736","0.8428571428571429"
"run-200","tanh","256","100","0.01","[32]","minibatch-gd","0.40875","0.513874614594039","0.59125","0.3607503607503608","0.8928571428571429"
"run-73","sigmoid","16","10","0.01","[32]","batch-gd","0.40625","0.48648648648648657","0.59375","0.3488372093023256","0.8035714285714286"
"run-169","tanh","16","100","0.01","[32,64,32]","batch-gd","0.405","0.4881720430107527","0.595","0.34923076923076923","0.8107142857142857"
"run-22","relu","16","100","0.01","[32,64]","batch-gd","0.40125","0.4920466595970307","0.59875","0.34992458521870284","0.8285714285714286"
"run-148","tanh","16","10","0.01","[32,64]","batch-gd","0.3975","0.49048625792811834","0.6025","0.3483483483483483","0.8285714285714286"
