"Name","Runtime","activation_function","batch_size","epochs","learning_rate","num_neurons","optimizer","Train_accuracy","Train_cost","Train_f1","Train_precision","Train_recall","Validation_accuracy","Validation_cost","Validation_f1","Validation_precision","Validation_recall","accuracy","f1","precision","recall"
"run-146","12","tanh","16","10","0.01","[32]","minibatch-gd","0.5339168490153173","3923.653800902016","0.5339168490153173","0.5339168490153173","0.5339168490153173","0.6347826086956522","386.841595988024","0.6347826086956522","0.6347826086956522","0.6347826086956522","0.6347826086956522","0.6347826086956522","0.6347826086956522","0.6347826086956522"
"run-269","13","linear","256","10","0.1","[32,64,32]","minibatch-gd","0.5951859956236324","3407.880340351369","0.5951859956236324","0.5951859956236324","0.5951859956236324","0.6260869565217392","396.05183635499986","0.6260869565217392","0.6260869565217392","0.6260869565217392","0.6260869565217392","0.6260869565217392","0.6260869565217392","0.6260869565217392"
"run-135","12","sigmoid","256","100","0.1","[32]","sgd","0.5689277899343544","3628.9261091587896","0.5689277899343544","0.5689277899343544","0.5689277899343544","0.6173913043478261","405.2620767219757","0.6173913043478261","0.6173913043478261","0.6173913043478261","0.6173913043478261","0.6173913043478261","0.6173913043478261","0.6173913043478261"
"run-186","12","tanh","256","10","0.01","[32,64,32]","sgd","0.5886214442013129","3463.141782553224","0.5886214442013129","0.5886214442013129","0.5886214442013129","0.6173913043478261","405.26207672197575","0.6173913043478261","0.6173913043478261","0.6173913043478261","0.6173913043478261","0.6173913043478261","0.6173913043478261","0.6173913043478261"
"run-198","12","tanh","256","100","0.01","[32]","sgd","0.563457330415755","3674.9773109936687","0.563457330415755","0.563457330415755","0.563457330415755","0.6173913043478261","405.26207672197575","0.6173913043478261","0.6173913043478261","0.6173913043478261","0.6173913043478261","0.6173913043478261","0.6173913043478261","0.6173913043478261"
"run-147","12","tanh","16","10","0.01","[32,64]","sgd","0.5722100656455142","3601.2953880578616","0.5722100656455142","0.5722100656455142","0.5722100656455142","0.6173913043478261","405.2620767219757","0.6173913043478261","0.6173913043478261","0.6173913043478261","0.6173913043478261","0.6173913043478261","0.6173913043478261","0.6173913043478261"
"run-279","12","linear","256","100","0.1","[32]","sgd","0.574398249452954","3582.87490732391","0.574398249452954","0.574398249452954","0.574398249452954","0.6173913043478261","405.2620767219757","0.6173913043478261","0.6173913043478261","0.6173913043478261","0.6173913043478261","0.6173913043478261","0.6173913043478261","0.6173913043478261"
"run-211","12","tanh","256","100","0.1","[32,64]","batch-gd","0.5754923413566739","3573.664666956934","0.5754923413566739","0.5754923413566739","0.5754923413566739","0.6173913043478261","405.2620767219757","0.6173913043478261","0.6173913043478261","0.6173913043478261","0.6173913043478261","0.6173913043478261","0.6173913043478261","0.6173913043478261"
"run-238","12","linear","16","100","0.01","[32,64]","batch-gd","0.5492341356673961","3794.710435764355","0.5492341356673961","0.5492341356673961","0.5492341356673961","0.6086956521739131","414.4723170889515","0.6086956521739131","0.6086956521739131","0.6086956521739131","0.6086956521739131","0.6086956521739131","0.6086956521739131","0.6086956521739131"
"run-60","11","relu","256","100","0.01","[32,64,32]","sgd","0.6181619256017505","3214.465292644876","0.6181619256017505","0.6181619256017505","0.6181619256017505","0.6086956521739131","414.4723170889515","0.6086956521739131","0.6086956521739131","0.6086956521739131","0.6086956521739131","0.6086956521739131","0.6086956521739131","0.6086956521739131"
