binary,label
0110000100111011,8
01001000101100,5
0011,2
01,1
1100100000010,4
0110,2
10100001110,5
101100011001,6
100010010101110,7
1110,3
01111,4
1011010110,6
0,0
11010000000,3
0011,2
1110011100111,9
01010,2
101010,3
1010110000,4
01,1
111001111,7
10,1
010011100011,6
1,1
1011111001100010,9
10110010,4
000111001,4
0,0
1110100,4
0,0
010001100100,4
10011,3
01001101011100,7
00,0
11,2
000010001101001,5
11001,3
1110110100,6
100101110,5
01110,3
11110,4
00001100100,3
110000010100111,7
0001001,2
100,1
01101001101,6
10010,2
000010,1
1101001100,5
1110,3
0111111111011,11
011010,3
1011000100110,6
101100,3
01010001000111,6
10011010,4
1000101000,3
01,1
0111,3
0110110010010001,7
100011,3
01000100111,5
00110,2
1010110,4
000001000100101,4
011011,4
11011010111001,9
1011110101,7
11,2
001000101001,4
1111001010,6
110101,4
11000111,5
110111001000,6
010,1
1100100000000101,5
10111010,5
111,3
0110,2
101111010011101,10
0100,1
111111010,7
111100101111,9
0001010,2
01111,4
000100,1
101110110000,6
1110111,6
1101011000,5
01011100101000,6
10110000101,5
011,2
100110001,4
0,0
0101,2
1000010010100001,5
100,1
010110010,4
1010001110,5
1011001,4
010111100110100,8
011100101000101,7
010,1
0010110010000000,4
10110101011,7
110101000011101,8
1011,3
00110000001,3
11,2
00111111,6
1010,2
01,1
1001101,4
0010011001,4
00,0
1000110100,4
10010100,3
0101001001,4
000100110011000,5
0000001,1
1100,2
1000100101,4
100000010000,2
10100111,5
10010001101,5
00001011110,5
10111000010100,6
101000100,3
1100001,3
010111111110111,12
1010,2
1110011000011,7
11110,4
01101001,4
1011,3
1,1
1001,2
01,1
0,0
1,1
011000010,3
00111,3
000,0
1101101100,6
1,1
11101000111,7
1,1
0010110011,5
01000100,2
001101,3
01111,4
11010001,4
100011010,4
000,0
01000101,3
0010,1
10010,2
00110,2
0111000,3
0011,2
111001111100011,10
011,2
0100,1
00110101100111,8
101010000,3
100010,2
10,1
11,2
10100101000001,5
010001111,5
1100101011,6
111,3
111100,4
10001,2
10001010001110,6
10001101,4
00101110111111,10
10001010111,6
1011,3
000100110000,3
100011,3
0111010111,7
1011101,5
011001100000,4
1001111111,8
001000,1
0010111101010,7
0001001,2
1001001001100,5
10,1
0110011,4
000,0
111011010110,8
1110011000010110,8
10100100,3
011111,5
1001110111,7
001011000110100,6
10001111,5
1011,3
01001,2
011011010,5
00,0
0100010011111,7
111010,4
00100010,2
00001110000010,4
1110011,5
00011001,3
0101,2
0110101100,5
01001010110011,7
000111000,3
1101111,6
101110001001000,6
1111000110000001,7
0000001100,2
0011,2
101101000011,6
1001,2
111001,4
01000,1
1000110111,6
0100000000,1
00000101100101,5
0001110000010101,6
01000001110,4
1010001010110,6
0001,1
11011011001100,8
0011100,3
01011110,5
01,1
1101,3
100110000000,3
0001000010110,4
0,0
1111011001,7
010110100101101,8
11001000010,4
01001010,3
11,2
0101010001,4
000000100101111,6
1000001,2
0,0
00001100010100,4
1011,3
1011101110101111,12
1001,2
01000110111111,9
1000000110000,3
11,2
10111000000001,5
00101010010111,7
0010010110,4
1,1
1100101101000,6
10110101010,6
101000,2
11101,4
101001010000110,6
1101,3
1,1
001010000110010,5
100010,2
1,1
1101000111101,8
10,1
1011,3
1010010100100000,5
010010,2
001111100111,8
010110001,4
11001,3
011001,3
0010011,3
101001010010011,7
01100101101100,7
1011101001,6
000011010,3
001,1
1101110011,7
0111111100110100,10
010,1
1,1
01010101010,5
111000110000,5
100011010011,6
0011,2
0110000110,4
1,1
010001,2
110110011001,7
010111,4
0101,2
0001001011100,5
1001000111111000,8
00101011,4
00,0
1100111101,7
001101,3
10100111111,8
0110000101000,4
000000110,2
0001010000,2
0111000100,4
11001110,5
10010001,3
100010,2
10101110110001,8
1010,2
101001000000,3
10101011010,6
011000111101,7
1101000,3
1010001,3
00101100011,5
0001011101,5
010111100110000,7
1010110000010010,6
111011111010001,10
010010,2
010011011001,6
1101,3
001111111001,8
0101100010,4
00110,2
101000100011011,7
0000000011101,4
101000,2
0,0
00001,1
00,0
110,2
10110,3
01010,2
100011101,5
0010111001,5
1100101000110,6
001100,2
1000011011,5
101,2
1100001,3
0,0
110,2
0,0
101101110111,9
0101101010000010,6
01,1
111111000011,8
0110001110101101,9
1000010,2
0111110000011,7
01111000,4
10100001,3
100000,1
11011010110,7
100010101110000,6
01,1
0100111011101011,10
11011011000,6
110011100110,7
0101100,3
1011,3
1100100001010011,7
00110,2
1110001111110,9
0111001100,5
11,2
01000000000111,4
1,1
0,0
100,1
00110010,3
0011,2
010010,2
001110,3
0011,2
01101111100,7
01111,4
000011,2
11010011000100,6
0000011011110,6
10010,2
01000111001101,7
111100101,6
1100101,4
1010,2
0100111111,7
1111,4
01011010101,6
011110,4
101,2
110100010111,7
010010,2
001011111011,8
1011011100110,8
111001011,6
110110,4
011100010,4
11100110001,6
10101111010,7
100111000011101,8
10001110101,6
110011110,6
011,2
11000100,3
0101010010010,5
1110101001010100,8
1001101,4
0,0
0100100111101011,9
011010001011100,7
100011,3
0,0
010100010,3
00000010,1
11011000,4
1010011000000011,6
01,1
00101100101,5
00011,2
0000,0
111011110110101,11
111111100100100,9
1010011000,4
1100001100010010,6
10110011100,6
0000111,3
0,0
11000111,5
01001000100111,6
0010010,2
00001111111,7
001101010001,5
1100,2
010000010100,3
01011,3
100110001,4
00000111100,4
0100100,2
110010111011110,10
1110001101,6
11,2
110,2
111,3
10001000110011,6
01,1
11100101,5
1011100010101,7
100111110110,8
000,0
01,1
011,2
0000010000001111,5
110,2
110110000,4
100111,4
11110101,6
1111111101,9
11000,2
00110000,2
1010110,4
000010001,2
01,1
0011101110000001,7
01010111001010,7
0110,2
1000100011010000,5
10011000,3
000111100000100,5
1101100100,5
001010011,4
01101100011,6
110010,3
0111,3
101011011110,8
11100011000001,6
0001010110010,5
11000,2
0,0
10100001111,6
0111100011,6
1110000,3
001010001111000,6
011110001110010,8
001011000001,4
1011000110001101,8
10000111,4
1101,3
00000,0
11101,4
000010001101,4
00000,0
0101,2
00011,2
11,2
001,1
1111,4
111,3
1,1
10001100011111,8
11001011,5
0001,1
01010,2
1000111100111000,8
10,1
11111001101010,9
110100111,6
00011111101,7
0110001,3
10100011,4
1011010110110,8
011001011111010,9
100010011000,4
1001010,3
10100,2
11011010111000,8
01100,2
1000,1
10,1
00000001111,4
10,1
01011011001,6
1100001001,4
111100000,4
100,1
01101,3
10010010,3
100101000000,3
011,2
1000100101001,5
101110,4
1011010101110,8
101001011,5
00011011011,6
0111100001,5
00111,3
0001000101010001,5
0100011110,5
1011011010000010,7
00111011101,7
110000101,4
11,2
101100,3
11,2
0000000111,3
00,0
111100100110,7
111110,5
1110100111000,7
1001001001101010,7
111010011,6
11011111,7
00010100101,4
1100100,3
0000011,2
000010111000100,5
00111110111,8
1110111011011101,12
01,1
0000100101,3
110011,4
111,3
0111111,6
010100,2
000101000010101,5
101010011000001,6
1011100010111100,9
1,1
00,0
00000000,0
1100100011100011,8
0111,3
001101,3
0011001100,4
000101100,3
00,0
11111101110110,11
110011,4
00,0
000101,2
1001101010110001,8
001110,3
0,0
011,2
110010,3
1110,3
101000101010,5
1101110010,6
001101100010100,6
011010111101,8
0,0
011001100000111,7
0,0
10,1
1101000010110,6
01001,2
0001001100000,3
00011010101,5
000101101001001,6
10011001,4
01011,3
001001,2
101,2
00110100001,4
1011,3
11011,4
111011000111111,11
11011111110000,9
01001,2
00001100011110,6
01100111000,5
0010000111100,5
1001001010,4
100101000110000,5
10111110111,9
0100100,2
1111110,6
1,1
00001001,2
01000,1
1101111111,9
01001,2
100100000,2
111010111,7
1101111011010010,10
000,0
1100,2
110001010,4
101110100000,5
1001111,5
00100110011,5
10,1
00000010001011,4
111001000010111,8
0100111011,6
0101101010001,6
00001011,3
110010101110,7
100111,4
000,0
110000,2
01100010101,5
101101,4
0111011010,6
10110100101,6
10101100,4
111000101,5
001001,2
101,2
11,2
0000,0
100000110101,5
10111,4
00011,2
00010001111001,6
000,0
0111010000011000,6
100,1
10001011,4
0001111110100001,8
1011100011101111,11
1101101000,5
0000,0
00101101000011,6
001,1
1011,3
11110010110,7
01,1
100,1
001011010101001,7
0,0
0,0
010011100100,5
1011010000,4
1010,2
010011111,6
01000000001,2
0,0
11101111101111,12
1001000001000001,4
1,1
110101110011011,10
00010100,2
1110111,6
0000101110011,6
001010000111,5
11,2
0101001,3
101000110,4
00101,2
001011101001001,7
11,2
001,1
10001111010001,7
101101001,5
1110011,5
100010000000110,4
01000111101,6
1001000,2
000,0
101,2
1110011001001101,9
00101,2
1101110111,8
00010100,2
010,1
100100,2
0011011000000,4
10,1
1,1
11111,5
110000000000110,4
001,1
1010010001011,6
0011010011101011,9
01101,3
10111100,5
0010100000111001,6
11010111,6
00,0
001001110101,6
0011101101000,6
0,0
0110000,2
1110,3
0101111011001,8
0,0
00110110000,4
1001011101010010,8
10101010010,5
10111101101,8
00,0
1110000111000,6
01011,3
001001001100100,5
000100010110101,6
10110,3
110,2
1,1
0,0
0000100,1
1111001101111,10
0110000000010010,4
1110001100,5
1101000,3
0101000101101011,8
111110000111011,10
0010101110001101,8
0,0
011010100110,6
001010011011,6
1110000,3
1,1
1110011000,5
1111011011011,10
101010,3
011,2
1110110000110111,10
0,0
01100,2
100101011000001,6
101110011001,7
0100100,2
00101,2
01,1
11000,2
000110,2
1,1
010010100,3
0100110101001101,8
1,1
110010011100101,8
0001010101001,5
0111110100,6
1000111100001,6
100101011111001,9
111111101,8
01000000000111,4
1100111101101,9
1100010101000110,7
1101110,5
01011101,5
0001001110001100,6
1011010100,5
010,1
01100010100,4
011111100,6
101000011011110,8
001010100,3
00101,2
1011,3
10010011011110,8
0111101011001010,9
001110,3
11111011111,10
1011000011101,7
01010111101100,8
0101,2
100,1
1,1
100110,3
100,1
0100101,3
000101,2
1001,2
11,2
111,3
0111100001,5
011110011,6
0010000000000,1
1100000011,4
110010,3
0,0
1100111100101,8
0000000110,2
111010111101,9
100001010,3
00101101,4
0,0
00000111,3
010,1
1000111111010,8
100,1
000011,2
000101,2
1111011,6
001010100010000,4
010,1
100011010001001,6
00,0
11111011100010,9
100011101011,7
0000111001100010,6
001,1
11100101010001,7
00010110,3
000001,1
100110011010101,8
10101001110,6
011,2
0,0
10010,2
1111001101010110,10
100,1
1100,2
1000110000,3
1001101110,6
01110,3
10110011010110,8
000000111011110,7
01000,1
010000000011,3
110101010,5
00110011,4
001,1
010,1
0011100101101101,9
1,1
000000000010,1
110,2
01000100,2
111001110011000,8
1000000110,3
0,0
1010001010110011,8
01000010011000,4
100001111,5
0110,2
010,1
11,2
100010001111110,8
011001111,6
10001011010110,7
110010,3
1101100110000,6
001111101000111,9
101000111,5
1010101110000111,9
000100,1
010,1
1110100111111,10
00110010010111,7
01,1
010000110111011,8
0111,3
011100,3
0000110010000,3
0101111010,6
11001,3
00111,3
010001001,3
1001110010001,6
101011110,6
00111110110010,8
010110110,5
101011001,5
011100111011,8
0000000010,1
10011010,4
1110,3
10111100,5
10101000100011,6
011111,5
1011011111000,8
1111,4
1100101001,5
111001001,5
1101000,3
110011110010001,8
11,2
0011000110,4
001,1
010101,3
1101111011,8
1010111,5
01,1
1110111111001,10
110000101,4
10,1
1110000100100100,6
0,0
1011000,3
11,2
1101010110100,7
010,1
1110101111,8
010100111,5
011000110,4
010,1
11000101011000,6
00111001,4
010011110101,7
0001001000010,3
1101010,4
0011,2
100,1
1100,2
1011100011,6
100010110,4
0110101001010,6
1110010,4
11010010011011,8
001100011101,6
100101001001,5
01100111000,5
011,2
1011101100011,8
1010011100,5
0100000,1
1101010000,4
110111000101110,9
10,1
11111100,6
0000111011111010,9
1101,3
11111111111,11
0100011010,4
111111,6
0101100101010111,9
1,1
10001111100000,6
101100011011010,8
1,1
101,2
00011111,5
01110000,3
11010011000,5
1100,2
101,2
01000000,1
1101,3
1101110010000001,7
1010010,3
00101011,4
1001101000111,7
00,0
1100010011110,7
0101100000110,5
011,2
100011111011,8
101011101001111,10
101111111001010,10
1,1
00100,1
1111010010,6
010,1
111001101111110,11
001101111001101,9
0010000001100,3
0101101,4
10111010001,6
11010110001000,6
01,1
001010,2
111001,4
11,2
1,1
01,1
100100,2
10001101,4
01011110000100,6
10001,2
100101,3
100,1
10001111001,6
0100101101101100,8
010001,2
100100011100,5
1000100000000,2
1011,3
01101001001,5
10011100001,5
0001100000111,5
010001011,4
1011001110110001,9
10,1
010110111,6
100110010,4
000011011,4
0110100010101,6
01001000,2
010110110111101,10
101101011000,6
1001001101010111,9
111100101,6
10101110110,7
00100,1
101101111,7
000111111101,8
0001101101000111,8
111101101011100,10
000,0
100110,3
101101011,6
01011101,5
0101000010110000,5
11001001100101,7
1111000100011,7
00001,1
10010100110000,5
10111,4
00001011,3
0100,1
10,1
1,1
100011,3
01,1
10100011001,5
00,0
1,1
100111011110,8
1011,3
11110,4
01010001110,5
10101100,4
1101,3
011010110001000,6
10011,3
00,0
100111110,6
100110011110,7
011010011101,7
0010110100101,6
011010100010,5
01000010010,3
0000010000111,4
000000010001,2
101101111010110,10
01000000000110,3
01100001110101,7
100010011100,5
1011010001111,8
1111100,5
0110001111101,8
110001011010,6
1111110000110,8
111,3
011101000000011,6
0001000,1
01110100,4
01001000101000,4
01000010100110,5
10000,1
01,1
11110,4
00000110,2
1111010,5
0,0
001011001111,7
001011111,6
011001,3
0010100111101011,9
010011100,4
11111001,6
010101111111010,10
01010,2
0,0
0011100,3
1,1
0,0
100111011100111,10
00111,3
100001000,2
01000011101,5
010,1
0010,1
01111101011,8
1110,3
1111101,6
11111100,6
1110011,5
110010011100,6
01,1
000,0
000001111111,7
010011000110,5
000,0
0,0
0000001001,2
110,2
0,0
110,2
000101011010011,7
1011010000010101,7
100010001010100,5
01100110,4
001010000101011,6
1100101111001101,10
100100101001101,7
0010111111010011,10
10,1
1011110001,6
011,2
0,0
11100100101101,8
011001010,4
0110101110000110,8
0000,0
110101000100,5
0001,1
11,2
01011100,4
110011010,5
111011111,8
11100101110,7
0010101111111100,10
01000,1
1110001111,7
100110011111,8
11111110,7
001100001111,6
110011,4
1100000,2
011000,2
011100011001101,8
000100110100011,6
001101000101001,6
000010001,2
00101010010,4
01010000100111,6
1000101100,4
000111000001,4
111011,5
01110110,5
000110011,4
001011000101,5
0101110101110,8
1001100100111,7
00010,1
1101,3
000,0
11100111000,6
1,1
0010000111000111,7
000010101010010,5
1,1
1110110,5
1,1
000,0
11,2
101001111101,8
1,1
0010011111101111,11
1101110,5
11101001,5
010010,2
0100111001000101,7
1,1
101110,4
11,2
100,1
0010000100100,3
1001111110,7
0011,2
1111110,6
011001000,3
101000010001,4
0,0
110110010,5
0101,2
000011101101111,9
0101101101,6
001,1
11,2
0010010010100100,5
0010,1
110110010,5
10100,2
1100010,3
10010110,4
1000011111,6
111011,5
0,0
1101110110000,7
1110001,4
01000011,3
100111110011,8
100110001010,5
0010,1
110111,5
10,1
1110,3
110111,5
110101000010011,7
10000011101,5
010000111111001,8
01,1
1110110011111010,11
0,0
101011,4
1000111110100111,10
100011101101000,7
11100,3
1101001111010,8
0111,3
011111,5
010000101001,4
110110110,6
1110001,4
1,1
00000,0
0111010110,6
00111,3
10,1
0011011,4
10101100001110,7
001101010110100,7
110010101,5
1,1
00110,2
1011000,3
100010,2
0111111100,7
11010000,3
0111100000001011,7
10101100001,5
1000,1
100110,3
00,0
001000010,2
101010,3
000110101001100,6
10,1
11,2
01111,4
00001,1
01011,3
0001001110100001,6
1100011,4
1000101001,4
10011110001,6
10001011,4
1000110,3
00001011110010,6
00011111100,6
00010010,2
0111100000101,6
0110,2
11010111,6
01111001000011,7
1001001111,6
0,0
1001011111,7
01,1
1011110100010,7
111,3
01,1
01100100011010,6
01011110011,7
00011110111,7
000111,3
101000100100010,5
11010001,4
11000,2
0101110010,5
0101110,4
0000,0
001010011001,5
0110011110,6
01100011,4
111110010101,8
111101,5
1100011101101,8
110001100101000,6
00111100,4
01111,4
01111101,6
110000100,3
10100111110010,8
01101101,5
111,3
0,0
1001000000100,3
1100110001101001,8
1110111,6
11,2
0110,2
10001011,4
1,1
010011001101010,7
10000,1
01101010001,5
111000,3
1,1
111110000010000,6
11110101,6
0111,3
1000110110010100,7
10001101,4
0011111100001010,8
11101010011,7
10,1
0101001,3
010001011110110,8
01100011000011,6
010110,3
111000111,6
000101,2
1000001101,4
001110,3
01,1
000,0
0,0
11111100,6
101,2
0001001,2
00100,1
0,0
1,1
110010,3
1011100011110,8
100000001,2
110001110,5
10000100000001,3
01,1
1111100111001,9
01011000101101,7
1101010100,5
00001110001000,4
101011,4
0111000011101011,9
11110010011,7
00100110,3
0101101000110011,8
1,1
110011100,5
00000000,0
00,0
100,1
111000,3
11110,4
100011110111,8
1101,3
100,1
00101,2
11,2
00101010011110,7
0111100000100,5
100001100,3
011,2
00010011001101,6
1111000010,5
10001000101110,6
01010000011,4
1110001101010100,8
011010010,4
101011011,6
000001110111,6
00000,0
10100001,3
101111000011101,9
100000011,3
00010110,3
110100,3
11111011010111,11
100010000101,4
1110111110,8
00100100011,4
000,0
001010001110001,6
011,2
11,2
10100101000,4
00111101010100,7
11110110,6
00010010011,4
00100100001110,5
10001010001101,6
0001010001,3
001,1
1001101010110101,9
10110000010,4
101110100,5
01011110,5
0011,2
1,1
100010001101111,8
1,1
1,1
1,1
110001111101100,9
01,1
0100010001,3
00111101,5
0111000000001001,5
010100111001,6
10010111001010,7
11001,3
111111,6
0010000,1
10110011010,6
0,0
101110000011001,7
0011001010000010,5
01111101,6
000010,1
1110,3
111,3
110111111100,9
101,2
0110110110111000,9
1010001001,4
101100011100111,9
001111,4
110101010001,6
1001,2
1101,3
0000,0
0100110111,6
01000100101110,6
000011001110010,6
0011001101,5
111011011,7
101111011000,7
001010011110110,8
00101101,4
00,0
011101001011001,8
01,1
01110000100101,6
01000111101110,8
1100001,3
0100011011010,6
0001100,2
110111,5
101011,4
1000110111,6
0001111101,6
1000010011,4
111100000,4
0000,0
110011100,5
101000101101,6
01100101101,6
110101110011,8
1000010010,3
01,1
0011,2
100110011111011,10
100011,3
111000010,4
010101010010,5
10010110011,6
10011010,4
111000100111111,10
011111000010,6
100001111010,6
1010,2
101000110010,5
1001,2
11011011,6
101000,2
011101110,6
01010101,4
0110001,3
001111,4
010100011010,5
00111000,3
1101,3
1101011101011,9
10010,2
01,1
0100010000111011,7
11111110101,9
011100,3
1001011011010,7
10010000,2
0110000,2
1010010100011,6
0011001001110,6
1111001000,5
11101111,7
00001,1
011,2
001000,1
001100001110,5
01010001000,3
101100011,5
1000111,4
110,2
0001001010100110,6
0000000,0
1010,2
1100101111,7
1110,3
100001110001011,7
0101100010110110,8
1111000110110,8
1000,1
01,1
1110000010011,6
0000010011110101,7
01001000110011,6
111100100,5
0100001101001011,7
110011001000000,5
000,0
0011111101011011,11
10101000011,5
1100110010001110,8
011100011010010,7
1100,2
0,0
100100111,5
100,1
011100111110011,10
1011110001011001,9
1111011001000011,9
10110010,4
01111,4
1011,3
1001110100100,6
01001,2
1,1
1011011001100,7
111111100011111,12
11,2
00110,2
0101,2
00101100011,5
0101,2
1000,1
0,0
0100110001,4
11010110,5
0011010101010,6
111010011,6
0,0
101,2
00,0
011111111011110,12
10111010011100,8
11011,4
1,1
11011,4
1110,3
00000,0
00100000,1
110,2
011011011100,7
00001111001,5
00,0
00111101110000,7
00110000011,4
111100,4
000,0
11101110011110,10
0111011000100,6
01001111000,5
11000110111111,10
0000011111110100,8
111001,4
1100101110101010,9
00,0
0110011111110,9
111001001111,8
0111,3
0110110010,5
010100100001011,6
10001001,3
000100,1
10,1
11001010,4
1010111111111111,14
101100100010100,6
11111100010,7
1111101010,7
1010001101111001,9
101001010001,5
11100101000110,7
0111110001011,8
000,0
1000,1
01000000,1
0110001000001,4
00100010011100,5
10010110011000,6
000100,1
011101,4
00111010101101,8
00100,1
0010111,4
0001110001101010,7
00111110011,7
0001100010001010,5
000001001000,2
010111000100,5
010100011,4
00011,2
1111,4
01100001101,5
100001111111,8
11101110,6
111001,4
000011,2
1011100,4
100101001,4
1100,2
110111,5
0101100100100,5
1000,1
10010001001,4
1001101,4
01000010100000,3
00011100,3
11010101110,7
10,1
1011110101011,9
00,0
1000111101100001,8
0,0
011101001000,5
1010,2
0,0
000,0
01100101,4
1,1
101100101001,6
0000011000,2
01001,2
11100110,5
00111011,5
10010,2
00000010101001,4
0111111101100000,9
10001010110,5
010010,2
01100101,4
1111111010101000,10
10011100,4
1111001100,6
1110100101010,7
0001010110100,5
10010110100,5
000011110000110,6
110001,3
11111,5
0000,0
100110110100101,8
0011,2
111001101011,8
10,1
111100010000010,6
10000110111001,7
0,0
100,1
1101000101,5
1110010111000,7
01100,2
101010111100,7
0011011110011,8
1111100010000010,7
1010010011,5
000011101,4
1101111011100,9
1011110010000,6
100,1
111111100110,9
01001111,5
100001,2
1001,2
010101111,6
01011010111000,7
101111000101101,9
01,1
111011011010,8
10000001001,3
000011010,3
000000011000,2
10110001,4
10111,4
001000101000,3
011101,4
11,2
10,1
1011100011000001,7
00111,3
00,0
01000,1
0001011,3
000110,2
001,1
010010000,2
10011111001,7
110001001000,4
11110011001,7
11011,4
1110011111,8
110011101111,9
11,2
01101111,6
10000100010111,6
0000000,0
1100010,3
110010010000,4
011001,3
0010001110110,6
1110110010001000,7
11,2
11111010111,9
00111110000,5
0101011110111,9
001011011,5
0110001110111111,11
110000100011001,6
11111,5
00000001,1
100101001011,6
1011,3
000100110001100,5
10010000011,4
1111,4
0010011001110,6
1001011010110,7
110111000100010,7
01100100,3
001001,2
01110,3
0100000000100010,3
1011101001,6
10011101110110,9
11000,2
1,1
1100000101110,6
0100101100,4
10,1
1000001000,2
101000100,3
000010100011,4
0101110011100,7
1,1
01011110001,6
0001100110011,6
011,2
00010100,2
1001100,3
1110110100,6
00110,2
01,1
1101101111,8
11010,3
011101001101101,9
10111010010011,8
101100100000011,6
01100011100011,7
11001010010001,6
10001111110011,9
01110010001,5
001101111010,7
0,0
00001001,2
101101100,5
101111010011010,9
0111111,6
10110011011,7
0000,0
1100011,4
01,1
110011,4
1101,3
100000001001100,4
1111011000001,7
1111010001,6
1010001100111011,9
0000011010001,4
111,3
010001011,4
0111011,5
10000000111,4
1,1
10000001,2
110,2
010,1
101,2
000000111,3
10000101000110,5
010,1
1010010000010,4
010,1
0010111011,6
001101100100,5
1010101,4
111,3
110001010010011,7
0,0
0101110,4
011001100,4
0,0
0100000010000,2
00101,2
1110000010111100,8
011001011001011,8
000010011001110,6
110011,4
110011010110,7
0110010001100,5
1010011,4
01011,3
00101,2
10101,3
101011,4
101101,4
111100,4
1,1
1110110010,6
110000110,4
101,2
0,0
1001101110100111,10
100000100011100,5
0,0
1,1
001111011100111,10
1000101010,4
111001,4
10011,3
011010001101010,7
110011101101101,10
0,0
10111100,5
0111010,4
1011,3
100010111000,5
001001,2
00100011111,6
111101,5
001001100001,4
11110,4
000110111101010,8
100100011,4
01011,3
001111,4
011110101101,8
110000,2
0101110010,5
110101111,7
111101001,6
1,1
0001110,3
1,1
00,0
011011111,7
111111000000,6
1010000111,5
1,1
1000100111111,8
001001101,4
1000111100001,6
1100111111001001,10
1000,1
001110010,4
0001,1
01110000111100,7
01001011110,6
0101010,3
010010011110111,9
01111000000,4
110,2
11111100101,8
111010010101,7
01100,2
0110011,4
0011010100110100,7
00011011010010,6
111000000,3
011011010010,6
10001000010,3
0101,2
110100000100110,6
100111,4
10110111,6
010001011110,6
010011000011,5
0,0
11110101000,6
10000000011,3
111111100011111,12
01110100010011,7
101010,3
011010,3
100100,2
0,0
101110101011,8
0000,0
0011000,2
100,1
0001010010,3
010001001001001,5
00100101101,5
0,0
1011,3
1000101111110001,9
0101,2
1100101000100,5
1110111010,7
101100001111,7
011,2
00001,1
0,0
0110100000101011,7
0110,2
1,1
01110,3
01011001101,6
1000000000011,3
10101100000,4
100011000,3
0111001011,6
01,1
0011000000011,4
00010010,2
10010010010,4
111011,5
001101110001000,6
110010010111010,8
110100001101,6
101000,2
0101011110,6
1,1
00100111000,4
0001011,3
110110010111,8
10,1
10011000000011,5
10000001000,2
1100,2
11010110,5
1110100111011,9
10000,1
11001,3
0101011000,4
0111010100,5
10011110,5
01010010110000,5
110001101,5
110100,3
01011,3
01111001001,6
1111110110,8
1,1
01111101000,6
001111100001001,7
1011011111,8
100110100111101,9
10100,2
1011,3
01110,3
01101100100,5
1010010,3
011101,4
1001101010,5
00110111101110,9
100101,3
00001000001011,4
111110000011001,8
111110,5
0101001,3
0110000000,2
01000,1
01001000100010,4
0011101110,6
111001010001101,8
10000,1
1110,3
00101,2
00101101101,6
000011001,3
00000,0
0001,1
111010,4
00001101,3
1010010,3
10000100111,5
010011100111,7
0011011001,5
1011,3
010101101111001,9
0011000001001010,5
11001001001,5
000001011111,6
0111011011,7
1101010001000101,7
1001100110101010,8
0,0
01010,2
1001101,4
00010001000,2
1001000111100,6
001101101010,6
110011000,4
110100000110000,5
111011101,7
100010111011100,8
10111011100101,9
011,2
1,1
11100101010,6
011001111,6
0010,1
101100,3
11101110111,9
01,1
01110011100010,7
0100101110100,6
1101001010010,6
11,2
0010110110010,6
11,2
0110000100,3
000101010,3
01010001011,5
100010100,3
100111011,6
100110111010010,8
010,1
10111101101,8
100,1
111,3
00001010101011,6
0001110010,4
01011100011001,7
100,1
0111,3
1010000,2
000001,1
00011110000,4
111,3
11110,4
1001,2
00010,1
1000100,2
01111,4
10100010101,5
0001110000001100,5
0111,3
101010111100110,9
001000,1
00101001001,4
111100111101010,10
100110111000011,8
0,0
1010101000100,5
01011011010000,6
1110111001110,9
1111001110010000,8
001,1
1110110101000010,8
01010111011,7
101111,5
01001100010,4
11011111000,7
110110000,4
01001111001100,7
0,0
011111110100,8
01110010110,6
00111110,5
1010001110001110,8
00,0
001101100001,5
1110000111101,8
11011011100001,8
0100,1
010011111011101,10
100000101,3
011,2
001010001,3
110110110101,8
1,1
01001101010000,5
1110000010000,4
0001,1
11010001110,6
10110011101,7
1110100000111,7
011111101,7
01,1
0,0
1110010,4
011,2
1110101101111,10
001011,3
1001101110,6
001010011100,5
00110111,5
10110101110001,8
10100111,5
101100101000011,7
011011011,6
01000,1
11011110,6
110000000,2
10010000,2
00,0
111101001010,7
11111,5
0010101,3
00100000000,1
0011110001101101,9
